startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/12/1976,00/12/1976,Ecuador,ECU,Cotopaxi,Volcanic activity,Ash fall,1,25000,1976-0077
00/00/1976,00/00/1976,Indonesia,IDN,,Volcanic activity,Ash fall,40,,1976-0171
9/9/76,9/9/76,Italy,ITA,Friuli,Earthquake,Ground movement,12,32000,1976-0195
00/01/1977,00/01/1977,Ethiopia,ETH,,Volcanic activity,Ash fall,64,,1977-0030
10/1/77,10/1/77,Congo (the Democratic Republic of the),COD,Near Goma,Volcanic activity,Ash fall,147,60000,1977-0037
4/3/77,4/3/77,Bulgaria,BGR,"Svishtov, Ruse",Earthquake,Ground movement,20,165,1977-0048
4/3/77,4/3/77,Romania,ROU,Bucharest,Earthquake,Ground movement,1641,386300,1977-0048
19/03/1977,19/03/1977,Philippines (the),PHL,Cagayan (N.E. Luzon),Earthquake,Ground movement,1,60030,1977-0050
21/03/1977,21/03/1977,Iran (Islamic Republic of),IRN,Bandar Abbas area,Earthquake,Ground movement,167,20682,1977-0051
26/03/1977,26/03/1977,Turkey,TUR,"Lice-Palu, Elazig Province",Earthquake,Ground movement,30,,1977-0052
5/4/77,5/4/77,Comoros (the),COM,Grande Comore,Volcanic activity,Ash fall,1,25000,1977-0056
7/4/77,7/4/77,Iran (Islamic Republic of),IRN,Shahr Kord,Earthquake,Ground movement,352,400200,1977-0057
8/4/77,8/4/77,Réunion,REU,Sainte Rose,Volcanic activity,Ash fall,,1000,1977-0058
21/04/1977,21/04/1977,Solomon Islands,SLB,"Guadalcanal, Honiara",Earthquake,Ground movement,34,1001,1977-0059
26/05/1977,26/05/1977,Iran (Islamic Republic of),IRN,"Makhmur, Ilchi",Earthquake,Ground movement,3,9,1977-0071
23/06/1977,23/06/1977,Tonga,TON,Tongatapu,Earthquake,Ground movement,1,5505,1977-0078
7/8/77,7/8/77,Japan,JPN,Sapporo,Volcanic activity,Ash fall,3,10000,1977-0103
19/08/1977,19/08/1977,Indonesia,IDN,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",Earthquake,Ground movement,185,3975,1977-0106
23/11/1977,23/11/1977,Argentina,ARG,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",Earthquake,Ground movement,70,40100,1977-0137
10/12/77,10/12/77,Iran (Islamic Republic of),IRN,Hormozgan,Earthquake,Ground movement,3,15,1977-0140
20/12/1977,20/12/1977,Iran (Islamic Republic of),IRN,"Sarasiyab, Gish, Bab-Tangal villages (Kerman province)",Earthquake,Ground movement,589,500,1977-0142
27/08/1977,27/08/1977,Indonesia,IDN,East Timor,Earthquake,Ground movement,2,25,1977-0251
14/01/1978,14/01/1978,Japan,JPN,"Oshima, Yokohama",Earthquake,Ground movement,25,217,1978-0027
16/04/1978,16/04/1978,Italy,ITA,,Earthquake,Ground movement,5,900,1978-0057
00/05/1978,00/05/1978,Philippines (the),PHL,Albay province,Volcanic activity,Ash fall,,25000,1978-0066
12/6/78,12/6/78,Japan,JPN,Sendai (Near Esat coast of Honshu),Earthquake,Ground movement,28,2500,1978-0080
20/06/1978,20/06/1978,Greece,GRC,Thessaloniki area,Earthquake,Ground movement,50,600100,1978-0081
00/08/1978,00/08/1978,Philippines (the),PHL,Central,Volcanic activity,Ash fall,,1000,1978-0101
3/9/78,3/9/78,Germany Fed Rep,DFR,Swabian Alb,Earthquake,Ground movement,,235,1978-0113
16/09/1978,16/09/1978,Iran (Islamic Republic of),IRN,Tabas (Khorasan province),Earthquake,Ground movement,25000,40000,1978-0115
29/11/1978,29/11/1978,Mexico,MEX,"Mexico city, Oaxaca",Earthquake,Ground movement,9,3850,1978-0135
14/12/1978,14/12/1978,Iran (Islamic Republic of),IRN,"Izeh, Masjed-e-Soleyman",Earthquake,Ground movement,45,52,1978-0141
15/02/1978,15/02/1978,Turkey,TUR,"Pulumur, Erzincan",Earthquake,Ground movement,,2645,1978-0263
16/01/1979,16/01/1979,Iran (Islamic Republic of),IRN,Meshed (Khorasan province),Earthquake,Ground movement,199,5200,1979-0018
16/02/1979,16/02/1979,Peru,PER,Arequipa,Earthquake,Ground movement,13,1100,1979-0025
20/02/1979,20/02/1979,Indonesia,IDN,Dieng plain (Central Java),Volcanic activity,Ash fall,175,28000,1979-0027
