startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
9/5/97,9/5/97,Russian Federation (the),RUS,Irkutsk & Chita Region,Wildfire,Forest fire,,,1997-0113
29/07/1997,29/07/1997,Croatia,HRV,Hvar Is.,Wildfire,Forest fire,,,1997-0157
26/07/1997,26/07/1997,France,FRA,Near Marseille,Wildfire,Forest fire,,1259,1997-0159
14/07/1997,14/07/1997,Russian Federation (the),RUS,"Altay Territory, Siberia",Wildfire,Forest fire,14,,1997-0194
17/08/1997,17/08/1997,Kazakhstan,KAZ,"Kokpektynsky, Ulansky, Ziryanovsky, Kurchumsky, Zaisansky & Katon-Karagaisky",Wildfire,Forest fire,,8000,1997-0206
00/09/1997,00/09/1997,Indonesia,IDN,Sumatra & Kalimantan,Wildfire,Forest fire,240,32070,1997-0220
21/08/1997,20/11/1997,Malaysia,MYS,,Wildfire,Forest fire,,,1997-0220
7/10/97,7/10/97,Australia,AUS,North West,Wildfire,"Land fire (Brush, Bush, Pastur",,,1997-0246
2/10/97,2/10/97,"Tanzania, United Republic of",TZA,Mount Kilimanjaro,Wildfire,"Land fire (Brush, Bush, Pastur",,,1997-0262
23/09/1997,23/09/1997,Papua New Guinea,PNG,,Wildfire,"Land fire (Brush, Bush, Pastur",,8000,1997-0264
28/11/1997,28/11/1997,Australia,AUS,"From Tare To Bega, Coonabaraban",Wildfire,"Land fire (Brush, Bush, Pastur",2,,1997-0285
00/00/1997,00/00/1997,Chad,TCD,,Drought,Drought,,356000,1997-9043
00/02/1997,00/00/1997,Ethiopia,ETH,"Borena, Bale (Oromiya state) South Ome zone, Somali state",Drought,Drought,,986200,1997-9091
00/04/1997,00/00/1998,Niger (the),NER,,Drought,Drought,,8500,1997-9099
00/03/1997,00/00/1998,Mauritania,MRT,"Brakna, Tagant, Assaba, Adrar and Inchiri regions",Drought,Drought,,21400,1997-9100
00/04/1997,00/00/1997,France,FRA,,Drought,Drought,,,1997-9105
00/04/1997,00/00/1997,Italy,ITA,,Drought,Drought,,,1997-9105
00/04/1997,00/00/1997,Portugal,PRT,,Drought,Drought,,,1997-9105
00/03/1997,00/00/1998,Angola,AGO,,Drought,Drought,,105000,1997-9239
00/09/1997,00/11/1997,Indonesia,IDN,Irian Jaya Province,Drought,Drought,672,1065000,1997-9244
00/09/1997,00/00/1998,Papua New Guinea,PNG,"Milne Bay, Morobe, Madang, East",Drought,Drought,60,500000,1997-9263
00/11/1997,00/00/1997,Solomon Islands,SLB,"Choiseul, Isabel, Western, Central provinces",Drought,Drought,,,1997-9300
00/12/1997,00/06/1998,Viet Nam,VNM,"Quang Tri, Quang Binh, Quang Ngai, Quang Nam, Ha Tinh, Nghe An, Binh Dinh, Gia Lai, Kon Tun provinces",Drought,Drought,,3000000,1997-9525
00/05/1997,00/08/1997,China,CHN,Shandong,Drought,Drought,,,1997-9557
4/3/98,30/05/1998,Brunei Darussalam,BRN,,Wildfire,Forest fire,,,1998-0057
00/03/1998,00/04/1998,Indonesia,IDN,Kalimatan Province (Borneo Isl.),Wildfire,Forest fire,3,2000,1998-0057
4/3/98,30/05/1998,Malaysia,MYS,,Wildfire,Forest fire,,,1998-0057
16/02/1998,16/02/1998,Guinea-Bissau,GNB,Gabu region,Wildfire,"Land fire (Brush, Bush, Pastur",3,1500,1998-0083
2/4/98,2/4/98,Philippines (the),PHL,Quezeon & Rizal,Wildfire,Forest fire,2,300,1998-0088
00/06/1998,00/08/1998,Greece,GRC,"Central, North and South",Wildfire,"Land fire (Brush, Bush, Pastur",14,300,1998-0230
00/07/1998,00/07/1998,Spain,ESP,Catalonia,Wildfire,Forest fire,,600,1998-0231
20/07/1998,21/10/1998,Russian Federation (the),RUS,Sakhalin Isl.,Wildfire,Forest fire,3,100683,1998-0300
21/04/1998,21/04/1998,South Africa,ZAF,Plettenberg Bay,Wildfire,"Land fire (Brush, Bush, Pastur",25,,1998-0442
19/04/1998,19/04/1998,Sudan (the),SDN,,Wildfire,"Land fire (Brush, Bush, Pastur",47,,1998-0459
00/12/1998,00/00/1999,Namibia,NAM,,Drought,Drought,,25000,1998-9028
00/03/1998,00/00/1998,Malaysia,MYS,Sabah,Drought,Drought,,5000,1998-9062
00/03/1998,00/00/1998,Micronesia (Federated States of),FSM,"Pohnpei, Chuuk, Yap states",Drought,Drought,,28800,1998-9087
00/04/1998,00/00/1998,Philippines (the),PHL,All country,Drought,Drought,8,2600000,1998-9109
00/03/1998,00/00/1998,Burkina Faso,BFA,,Drought,Drought,,20700,1998-9153
00/07/1998,00/00/1998,Russian Federation (the),RUS,Tartarstan,Drought,Drought,,,1998-9197
00/08/1998,00/00/1998,Solomon Islands,SLB,Basakana Island,Drought,Drought,,380,1998-9223
00/07/1998,00/00/1998,Ethiopia,ETH,,Drought,Drought,,,1998-9237
00/01/1998,00/00/1999,Uganda,UGA,,Drought,Drought,,126000,1998-9265
00/01/1998,00/00/1998,Fiji,FJI,"Viti Levu, Yasawa, Vanua Levu",Drought,Drought,,263455,1998-9324
00/02/1998,00/02/1998,Guinea,GIN,,Drought,Drought,12,,1998-9330
00/03/1998,00/00/1998,Cabo Verde,CPV,"Praia (Santiago Isl.), Fogo Isl., San Vicente, San Nicolau and Sal.",Drought,Drought,,10000,1998-9346
00/11/1998,00/00/1998,Zimbabwe,ZWE,Southern (Matabeleland),Drought,Drought,,55000,1998-9361
00/04/1998,00/00/1999,Mozambique,MOZ,"Maputo, Gaza, Inhame (south)",Drought,Drought,,,1998-9620
00/03/1998,00/00/1998,Micronesia (Federated States of),FSM,"Pohnpei, Chuuk, Yap states",Drought,Drought,,28800,1998-9087
00/04/1998,00/00/1998,Philippines (the),PHL,All country,Drought,Drought,8,2600000,1998-9109
00/03/1998,00/00/1998,Burkina Faso,BFA,,Drought,Drought,,20700,1998-9153
00/07/1998,00/00/1998,Russian Federation (the),RUS,Tartarstan,Drought,Drought,,,1998-9197
00/08/1998,00/00/1998,Solomon Islands,SLB,Basakana Island,Drought,Drought,,380,1998-9223
00/07/1998,00/00/1998,Ethiopia,ETH,,Drought,Drought,,,1998-9237
00/01/1998,00/00/1999,Uganda,UGA,,Drought,Drought,,126000,1998-9265
